Category,Menu Item,Predicted Ingredients & Components
Set Feasts & Platters,Pista Sa Mesa,"Kalderetang Kambing, Lechon Kawali, Pancit Canton, Banana con Yelo, Large Rice Platter"
Set Feasts & Platters,Chef Lala's Pride Feast,"Rellenong Bangus, Beef Bulalo, Chicken Supreme, Pinakbet, Large Rice Platter, Halo-Halo"
Set Feasts & Platters,Harana Platter,"Barbecue-glazed Baby Back Ribs, Creamy Pasta, Cheese Quesadilla with salsa, Pitcher of Iced Tea, Halo-Halo"
Sides & Desserts,Garlic Bread,"Toasted baguette slices spread with garlic butter and parsley"
Sides & Desserts,Cheesecake,"Classic New York-style cheesecake slice with graham crust"
Sides & Desserts,Classic Halo-Halo,"Shaved ice, evaporated milk, sweet red beans, sago, gulaman, jackfruit (langka), ube halaya, leche flan, topped with ube ice cream"
Sides & Desserts,Mais con Yelo,"Sweet kernel corn, shaved ice, evaporated milk, sugar, toasted pinipig"
Sides & Desserts,Banana con Yelo,"Caramelized saba bananas in sweet syrup, shaved ice, evaporated milk"
Beverages,Coke Regular,"Chilled Coca-Cola soft drink"
Beverages,Iced Tea,"House-brewed black tea, lemon juice, sugar syrup, ice cubes, lemon slice"
Beverages,Water,"Chilled bottled or filtered drinking water, served in a glass"
